model,file,rank,imagenet_index,imagenet_label,probability,mapped_to_book
yolov8n-cls,book_0009_a4afbc7697bdf23c.jpg,1,922,menu,0.9264290928840637,False
yolov8n-cls,book_0009_a4afbc7697bdf23c.jpg,2,800,slot,0.032368406653404236,False
yolov8n-cls,book_0009_a4afbc7697bdf23c.jpg,3,918,crossword_puzzle,0.005623836535960436,False
yolov8n-cls,book_0009_a4afbc7697bdf23c.jpg,4,419,Band_Aid,0.004497516434639692,False
yolov8n-cls,book_0009_a4afbc7697bdf23c.jpg,5,454,bookshop,0.002870009047910571,False
yolov8n-cls,book_0010_ba965d3fd74e1e61.jpg,1,782,screen,0.25947311520576477,False
yolov8n-cls,book_0010_ba965d3fd74e1e61.jpg,2,921,book_jacket,0.2254233956336975,True
yolov8n-cls,book_0010_ba965d3fd74e1e61.jpg,3,692,packet,0.14140820503234863,False
yolov8n-cls,book_0010_ba965d3fd74e1e61.jpg,4,549,envelope,0.04072762280702591,False
yolov8n-cls,book_0010_ba965d3fd74e1e61.jpg,5,664,monitor,0.03917267546057701,False
yolov8n-cls,book_0011_55d391da105421e9.jpg,1,916,web_site,0.3447323441505432,False
yolov8n-cls,book_0011_55d391da105421e9.jpg,2,921,book_jacket,0.28998661041259766,True
yolov8n-cls,book_0011_55d391da105421e9.jpg,3,631,lotion,0.09635180979967117,False
yolov8n-cls,book_0011_55d391da105421e9.jpg,4,838,sunscreen,0.0734589546918869,False
yolov8n-cls,book_0011_55d391da105421e9.jpg,5,922,menu,0.0660223588347435,False
yolov8n-cls,book_0013_c80e081e169fd977.jpg,1,922,menu,0.13451480865478516,False
yolov8n-cls,book_0013_c80e081e169fd977.jpg,2,549,envelope,0.1210242509841919,False
yolov8n-cls,book_0013_c80e081e169fd977.jpg,3,921,book_jacket,0.11965729296207428,True
yolov8n-cls,book_0013_c80e081e169fd977.jpg,4,446,binder,0.04256001114845276,False
yolov8n-cls,book_0013_c80e081e169fd977.jpg,5,855,thimble,0.03336302191019058,False
yolov8n-cls,book_0014_4b523b5b89444fcf.jpg,1,916,web_site,0.7146990895271301,False
yolov8n-cls,book_0014_4b523b5b89444fcf.jpg,2,720,pill_bottle,0.043322302401065826,False
yolov8n-cls,book_0014_4b523b5b89444fcf.jpg,3,454,bookshop,0.028127629309892654,False
yolov8n-cls,book_0014_4b523b5b89444fcf.jpg,4,631,lotion,0.025409206748008728,False
yolov8n-cls,book_0014_4b523b5b89444fcf.jpg,5,921,book_jacket,0.024179961532354355,True
yolov8n-cls,book_0015_1cd9ac0169ec7df0.jpg,1,577,gong,0.2918305993080139,False
yolov8n-cls,book_0015_1cd9ac0169ec7df0.jpg,2,887,vestment,0.15183769166469574,False
yolov8n-cls,book_0015_1cd9ac0169ec7df0.jpg,3,894,wardrobe,0.13992787897586823,False
yolov8n-cls,book_0015_1cd9ac0169ec7df0.jpg,4,556,fire_screen,0.12467443943023682,False
yolov8n-cls,book_0015_1cd9ac0169ec7df0.jpg,5,787,shield,0.08214881271123886,False
yolov8n-cls,book_0016_dacff59f9391a87b.jpg,1,485,CD_player,0.32603394985198975,False
yolov8n-cls,book_0016_dacff59f9391a87b.jpg,2,778,scale,0.2517901062965393,False
yolov8n-cls,book_0016_dacff59f9391a87b.jpg,3,848,tape_player,0.1670817881822586,False
yolov8n-cls,book_0016_dacff59f9391a87b.jpg,4,745,projector,0.05204984173178673,False
yolov8n-cls,book_0016_dacff59f9391a87b.jpg,5,606,iron,0.02101718634366989,False
yolov8n-cls,book_0018_3edf7490a8c07e59.jpg,1,453,bookcase,0.4386151134967804,False
yolov8n-cls,book_0018_3edf7490a8c07e59.jpg,2,624,library,0.19423209130764008,False
yolov8n-cls,book_0018_3edf7490a8c07e59.jpg,3,481,cassette,0.14140351116657257,False
yolov8n-cls,book_0018_3edf7490a8c07e59.jpg,4,446,binder,0.09787862002849579,False
yolov8n-cls,book_0018_3edf7490a8c07e59.jpg,5,454,bookshop,0.058859411627054214,False
yolov8n-cls,book_0019_78dc9ea17e259573.jpg,1,644,matchstick,0.3693620264530182,False
yolov8n-cls,book_0019_78dc9ea17e259573.jpg,2,696,paintbrush,0.12497638165950775,False
yolov8n-cls,book_0019_78dc9ea17e259573.jpg,3,626,lighter,0.05082601681351662,False
yolov8n-cls,book_0019_78dc9ea17e259573.jpg,4,767,rubber_eraser,0.04855549335479736,False
yolov8n-cls,book_0019_78dc9ea17e259573.jpg,5,893,wallet,0.04067842289805412,False
yolov8n-cls,book_0020_ac1d9f4001b2bb0e.jpg,1,713,photocopier,0.4000500440597534,False
yolov8n-cls,book_0020_ac1d9f4001b2bb0e.jpg,2,620,laptop,0.11223870515823364,False
yolov8n-cls,book_0020_ac1d9f4001b2bb0e.jpg,3,742,printer,0.09166126698255539,False
yolov8n-cls,book_0020_ac1d9f4001b2bb0e.jpg,4,798,slide_rule,0.08353345841169357,False
yolov8n-cls,book_0020_ac1d9f4001b2bb0e.jpg,5,681,notebook,0.05619269236922264,False
yolov8n-cls,book_0021_db124081108638ea.jpg,1,401,accordion,0.800995409488678,False
yolov8n-cls,book_0021_db124081108638ea.jpg,2,626,lighter,0.045683473348617554,False
yolov8n-cls,book_0021_db124081108638ea.jpg,3,699,panpipe,0.032577160745859146,False
yolov8n-cls,book_0021_db124081108638ea.jpg,4,813,spatula,0.024862535297870636,False
yolov8n-cls,book_0021_db124081108638ea.jpg,5,644,matchstick,0.022400975227355957,False
yolov8n-cls,book_pinterest_1.jpeg,1,605,iPod,0.23040428757667542,False
yolov8n-cls,book_pinterest_1.jpeg,2,684,ocarina,0.16679714620113373,False
yolov8n-cls,book_pinterest_1.jpeg,3,798,slide_rule,0.14243844151496887,False
yolov8n-cls,book_pinterest_1.jpeg,4,761,remote_control,0.12114063650369644,False
yolov8n-cls,book_pinterest_1.jpeg,5,720,pill_bottle,0.04373645782470703,False
yolov8n-cls,book_pinterest_2.jpeg,1,835,sundial,0.6331151723861694,False
yolov8n-cls,book_pinterest_2.jpeg,2,755,radio_telescope,0.15392212569713593,False
yolov8n-cls,book_pinterest_2.jpeg,3,682,obelisk,0.09125760942697525,False
yolov8n-cls,book_pinterest_2.jpeg,4,727,planetarium,0.016557596623897552,False
yolov8n-cls,book_pinterest_2.jpeg,5,716,picket_fence,0.01231946051120758,False
yolov8n-cls,book_pinterest_3.jpeg,1,591,handkerchief,0.9489708542823792,False
yolov8n-cls,book_pinterest_3.jpeg,2,611,jigsaw_puzzle,0.00526805454865098,False
yolov8n-cls,book_pinterest_3.jpeg,3,549,envelope,0.005149024073034525,False
yolov8n-cls,book_pinterest_3.jpeg,4,458,brass,0.004153681453317404,False
yolov8n-cls,book_pinterest_3.jpeg,5,499,cleaver,0.0034710238687694073,False
yolov8n-cls,book_pinterest_4.jpeg,1,447,binoculars,0.7676048278808594,False
yolov8n-cls,book_pinterest_4.jpeg,2,808,sombrero,0.016898896545171738,False
yolov8n-cls,book_pinterest_4.jpeg,3,515,cowboy_hat,0.015371426939964294,False
yolov8n-cls,book_pinterest_4.jpeg,4,505,coffeepot,0.011797758750617504,False
yolov8n-cls,book_pinterest_4.jpeg,5,855,thimble,0.010393385775387287,False
yolov8n-cls,book_pinterest_5.jpeg,1,281,tabby,0.6286552548408508,False
yolov8n-cls,book_pinterest_5.jpeg,2,282,tiger_cat,0.16306690871715546,False
yolov8n-cls,book_pinterest_5.jpeg,3,285,Egyptian_cat,0.07191450148820877,False
yolov8n-cls,book_pinterest_5.jpeg,4,918,crossword_puzzle,0.02658713608980179,False
yolov8n-cls,book_pinterest_5.jpeg,5,753,radiator,0.022694405168294907,False
yolov8n-cls,book_pinterest_6.jpeg,1,664,monitor,0.41040661931037903,False
yolov8n-cls,book_pinterest_6.jpeg,2,782,screen,0.0894700139760971,False
yolov8n-cls,book_pinterest_6.jpeg,3,458,brass,0.07354431599378586,False
yolov8n-cls,book_pinterest_6.jpeg,4,851,television,0.07104223966598511,False
yolov8n-cls,book_pinterest_6.jpeg,5,681,notebook,0.06467463821172714,False
yolov8n-cls,book_pinterest_7.jpeg,1,975,lakeside,0.7579285502433777,False
yolov8n-cls,book_pinterest_7.jpeg,2,449,boathouse,0.07863675057888031,False
yolov8n-cls,book_pinterest_7.jpeg,3,223,schipperke,0.02259369008243084,False
yolov8n-cls,book_pinterest_7.jpeg,4,460,breakwater,0.008935295976698399,False
yolov8n-cls,book_pinterest_7.jpeg,5,536,dock,0.008439541794359684,False
yolov8n-cls,book_pinterest_8.jpeg,1,631,lotion,0.3281330168247223,False
yolov8n-cls,book_pinterest_8.jpeg,2,721,pillow,0.11795441061258316,False
yolov8n-cls,book_pinterest_8.jpeg,3,529,diaper,0.07743196934461594,False
yolov8n-cls,book_pinterest_8.jpeg,4,750,quilt,0.05621622875332832,False
yolov8n-cls,book_pinterest_8.jpeg,5,588,hamper,0.03695624694228172,False
